# The Elder's prop, which the page says he has and the bindings say he has not.
#
# WHAT THIS IS FOR. docs/roster.md says tier 2 is COLOUR PLUS A PROP, and its
# own Elder block names druid_texture_alt_A, no prop, and "Open -- none". The
# row is bound exactly as its block is written, so the block and the rule
# disagree and the Elder is colour and nothing else. Issue #281.
# DECIDES NOTHING.
#
#     tools/capture-armed-roster.ps1 -SetFile docs/roster-elder-prop.txt
#
# The committed copy is docs/frames/roster/elder-prop-sheet.png, under a name
# the tool does not write, because every candidate run rewrites
# candidates-sheet.png.
#
# NOTHING WAS SHORTLISTED, AND THAT IS DELIBERATE. AGENTS.md rule 6 and this
# map's own notes put picking a prop on the human side of the line, and a
# shortlist IS a pick -- it is the pick, made quietly, with the rejected
# alternatives never shown. So this is EVERY .fbx the Druid's own pack ships,
# minus two mechanical exclusions:
#
#   * the six CHARACTERS, which are bodies and not props; and
#   * the 13 props already bound to another line, listed below with the line
#     that holds each. A rung is told apart BY its prop, so a prop two lines
#     share tells nothing apart -- that is roster.md's own tier grammar rather
#     than a taste, which is why it can be written down and checked.
#
# Everything else the pack has is here, 45 of them, whether or not it suits a
# druid. A shotgun in a druid's off hand is a silly picture and it is also the
# honest edge of the space: the pack has one, and a sheet that quietly dropped
# it would be a sheet that had already decided something.
#
# THE EXCLUDED, AND WHO HOLDS THEM:
#   ammo_crate.fbx                   the Artificer's own open question
#   axe_2handed_Large.fbx            the Berserker
#   bow.fbx                          the Archer
#   bow_withString.fbx               the Archer
#   crossbow_2handed.fbx             the Overwatch
#   dagger.fbx                       the Rogue line
#   druid_staff.fbx                  this line, at every rung
#   engineer_Wrench.fbx              the Engineer line
#   quiver.fbx                       the Ranger
#   shield_square.fbx                the Sergeant and the Shield Wall
#   spellbook_open.fbx               the Mage
#   sword_1handed.fbx                the Soldier
#   turret_base.fbx                  the Engineer line
#
# THE PROP GOES IN THE OFF HAND, and it can, because every rung of this line
# binds a null left hand -- the staff is in the right and nothing has to be
# displaced. Every weapon in this pack is authored for the RIGHT hand, so an
# off-hand prop hangs untilted; that is the finding
# docs/roster-expansion-candidates.txt recorded about the Fan of Knives' second
# dagger, and it is part of what is being looked at rather than a fault here.
#
# A BESIDE PROP IS THE OTHER PLACE ONE COULD GO and is not on this sheet,
# because the Overgrowth above him already stands beside the weirwood -- a tier
# 2 that also stood beside something would be told from tier 3 by which object
# was on the tile, which is a thinner signal than the one it is meant to fix.
# If the sitting wants it anyway, a beside line spells the same as it does on
# docs/roster-expansion-beside-candidates.txt.
#
# HOW A LINE READS. The eight fields docs/roster-expansion-candidates.txt's
# header writes out. The clip is this row's own idle, Idle_A, and the atlas is
# the one its block names.
#
#     side  name  model  right-hand  left-hand  clip  [texture [beside]]

# Shipped: druid_texture_alt_A, the staff, and an empty off hand. The thing
# every tile below it is read against.
tower elder-shield-badge                 Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_badge.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-badge-color           Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_badge_color.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-round                 Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_round.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-round-barbarian       Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_round_barbarian.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-round-barbarian-Large Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_round_barbarian_Large.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-round-color           Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_round_color.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-spikes                Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_spikes.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-spikes-color          Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_spikes_color.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shield-square-color          Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shield_square_color.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-shotgun                      Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/shotgun.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-smokebomb                    Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/smokebomb.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-spellbook-closed             Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/spellbook_closed.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-staff                        Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/staff.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-sword-2handed                Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/sword_2handed.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-sword-2handed-color          Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/sword_2handed_color.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
tower elder-wand                         Kaykit/adventurers/Druid.fbx  Kaykit/adventurers/druid_staff.fbx@0,0,-90  Kaykit/adventurers/wand.fbx  Rig_Medium_General/Idle_A  Kaykit/adventurers/druid_texture_alt_A.png
